source_id,longitude,latitude,uber_loc,address,region,county,locality
node/8014526228,77.22744,28.600167,Khan Market,"Biotique, Khan Market, Delhi, India",Delhi,South West Delhi,Delhi
polyline:20706515,77.294225,26.913907,Subhash Chowk,"Subhash Chowk, RJ, India",Rajasthan,Bharatpur,
polyline:29749988,72.533631,23.052381,Subhash Chowk,"Subhash Chowk, Ahmedabad, GJ, India",Gujarat,Ahmadabad,Ahmedabad
polyline:22614097,76.711615,11.418889,Botanical Garden,"botanical garden, Ooty, TN, India",Tamil Nadu,Nilgiris,Ooty
polyline:22618204,76.931999,11.014403,Botanical Garden,"Botanical Garden Road, Coimbatore, TN, India",Tamil Nadu,Coimbatore,Coimbatore
node/2833058750,77.333773,28.563857,Botanical Garden,"Botanical Garden, Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Noida
node/9199641636,88.300682,22.552914,Botanical Garden,"Botanical Garden, Howrah, WB, India",West Bengal,Howrah,Howrah
way/589915684,90.524784,26.508131,Botanical Garden,"Botanical Garden, AS, India",Assam,Chirang,
node/6930089778,77.169277,28.673623,Inderlok,"Inderlok, Delhi, India",Delhi,South West Delhi,Delhi
node/7138534429,77.16764,28.672408,Inderlok,"DGD, Inderlok, Delhi, India",Delhi,South West Delhi,Delhi
node/6465991434,77.169187,28.672707,Inderlok,"Inderlok (Green Line), Delhi, India",Delhi,South West Delhi,Delhi
node/6930106187,77.170483,28.673149,Inderlok,"Parsvnath Mall Inderlok, Delhi, India",Delhi,South West Delhi,Delhi
way/707859994,77.170382,28.67347,Inderlok,"Inderlok Metro Station (Red Line), Delhi, India",Delhi,South West Delhi,Delhi
7302826,78.55757,17.34769,Lal Quila,"Lal Bahadur Nagar, AP, India",Andhra Pradesh,Hyderabad,Lal Bahadur Nagar
890506095,78.55757,17.34769,Lal Quila,"Lal Bahadur Nagar, Hyderabad, TG, India",Telangana,Hyderabad,Hyderabad
node/7282286730,77.236661,28.657483,Lal Quila,"Lal Quila, Delhi, India",Delhi,South West Delhi,Delhi
node/2472250513,76.100848,30.826875,Lal Quila,"Lal kalan, PB, India",Punjab,Ludhiana,
way/52097620,88.349125,22.571952,Lal Quila,"Lal Dighi, Kolkata, WB, India",West Bengal,Kolkata,Kolkata
102030321,68.968854,22.24338,Dwarka Sector 21,"Dwarka, GJ, India",Gujarat,Jamnagar,Dwarka
11875527,69.65498,22.20253,Dwarka Sector 21,"Jamnagar, GJ, India",Gujarat,Jamnagar,
way/154186641,77.055813,28.579315,Dwarka Sector 21,"WelcomHotel Dwarka, Delhi, India",Delhi,South West Delhi,Delhi
node/6541854257,77.033541,28.597009,Dwarka Sector 21,"Dwarka Sector 13, Delhi, India",Delhi,South West Delhi,Delhi
node/5737168025,77.049443,28.586443,Dwarka Sector 21,"Dwarka Sector 11, Delhi, India",Delhi,South West Delhi,Delhi
85903979,77.267719,28.51489,Tughlakabad,"Tughlakabad, Delhi, India",Delhi,South West Delhi,Delhi
1276535291,75.70859,33.07787,Jasola,"Jasola, India",Jammu and Kashmir,Doda,Jasola
polyline:29784988,75.890747,22.725467,Greater Kailash,"Greater Kailash Road, Indore, MP, India",Madhya Pradesh,Indore,Indore
way/482822215,77.094724,28.491282,DLF Phase 3,"Dlf Phase-3 U-50, Gurugram, HR, India",Haryana,Gurugram,Gurugram
way/589014180,77.098501,28.494448,DLF Phase 3,"Dlf Phase -3 U-24, Gurugram, HR, India",Haryana,Gurugram,Gurugram
node/10685628359,77.100762,28.497711,DLF Phase 3,"Amazone Residency Dlf Phase 3 Gurugram, Gurugram, HR, India",Haryana,Gurugram,Gurugram
way/143049064,77.09242,28.489817,DLF Phase 3,"5 DLF Phase 3, Sector 25, Gurugram, HR, India",Haryana,Gurugram,Gurugram
10113993,77.10687,28.48434,DLF Phase 3,"Laurent & Benon Urban Courtyard Dlf Phase 3, Gurugram, HR, India",Haryana,Gurugram,Gurugram
polyline:31582678,77.18975,28.569586,Bhikaji Cama Place,"Bikaji Cama Place Flyover, Delhi, India",Delhi,South West Delhi,Delhi
node/6453544486,77.187871,28.570262,Bhikaji Cama Place,"Bhikaji Cama Place, Delhi, India",Delhi,South West Delhi,Delhi
6955273,77.18559,28.56755,Bhikaji Cama Place,"Bhikaji Cama Place, DL, India",Delhi,South West Delhi,Bhikaji Cama Place
890504143,77.18559,28.56755,Bhikaji Cama Place,"Bhikaji Cama Place, Delhi, India",Delhi,South West Delhi,Delhi
node/6258194785,77.188904,28.569983,Bhikaji Cama Place,"Bhikaji Cama Place Gate No. 2, Delhi, India",Delhi,South West Delhi,Delhi
102031095,77.510051,28.466676,Greater Noida,"Greater Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Greater Noida
node/5455135429,77.215794,28.529403,Hauz Rani,"Hauz Rani, Delhi, India",Delhi,South West Delhi,Delhi
85928627,77.211664,28.52909,Hauz Rani,"Hauz Rani, Delhi, India",Delhi,South West Delhi,Delhi
10263238,77.21214,28.53022,Hauz Rani,"Hauz Rāni, DL, India",Delhi,South West Delhi,Hauz Rāni
node/2832938172,77.205045,28.543369,Hauz Rani,"Hauz Khas, Delhi, India",Delhi,South West Delhi,Delhi
1310157911,82.73053,25.68331,Hauz Rani,"Hauz, UP, India",Uttar Pradesh,Jaunpur,Hauz
890504089,84.992008,25.521705,Vaishali,"Patna, BR, India",Bihar,Patna,
890503405,85.37415,25.743878,Vaishali,"Vaishali, BR, India",Bihar,Vaishali,
85928547,77.338146,28.643401,Vaishali,"Vaishali, Ghaziabad, UP, India",Uttar Pradesh,Ghaziabad,Ghaziabad
polyline:29594272,77.213123,28.623645,Patel Chowk,"Patel Chowk, Delhi, India",Delhi,South West Delhi,Delhi
polyline:31580457,79.417842,28.355271,Patel Chowk,"Patel Chowk, Bareilly, UP, India",Uttar Pradesh,Bareilly,Bareilly
polyline:29594470,77.098122,28.652773,Patel Chowk,"Patel Chowk Road, Delhi, India",Delhi,South West Delhi,Delhi
polyline:31703727,70.463902,21.511913,Patel Chowk,"Sardar Patel Chowk, Junagadh, GJ, India",Gujarat,Junagadh,Junagadh
polyline:31736620,76.827297,17.319169,Patel Chowk,"Sardar Vallabhai Patel Chowk, Gulbarga, KA, India",Karnataka,Gulbarga,Gulbarga
102029095,76.984009,29.388567,Panipat,"Panipat, HR, India",Haryana,Panipat,Panipat
1243251169,77.27633,30.56532,Panipat,"Panipat, HP, India",Himachal Pradesh,Sirmaur,Panipat
polyline:29595070,77.202966,28.598492,Lok Kalyan Marg,"Lok Kalyan Marg, Delhi, India",Delhi,South West Delhi,Delhi
polyline:31582716,77.225581,28.567815,South Extension,"South Extension Flyover, Delhi, India",Delhi,South West Delhi,Delhi
way/714996468,78.062663,27.888742,Ashok Park Main,"Ashok Nagar Park, Aligarh, UP, India",Uttar Pradesh,Aligarh,Aligarh
polyline:29644921,80.953944,26.859433,Ashok Park Main,"Ashok Marg, Lucknow, UP, India",Uttar Pradesh,Lucknow,Lucknow
polyline:20677854,77.995004,27.182248,Ashok Park Main,"ashok nagar, Agra, UP, India",Uttar Pradesh,Agra,Agra
polyline:20800362,91.781659,26.141631,Ashok Park Main,"Ashok Path, Guwahati, AS, India",Assam,Kamrup Metropolitan,Guwahati
polyline:29836074,73.801782,19.980487,Ashok Park Main,"Ashok Marg, Nashik, MH, India",Maharashtra,Nashik,Nashik
node/415257456,77.120951,28.478729,Arjangarh,"Arjangarh, Delhi, India",Delhi,South West Delhi,Delhi
relation/3774826,77.12283,28.476949,Arjangarh,"Arjangarh Air Force Station, Delhi, India",Delhi,South West Delhi,Delhi
85928595,77.13364,28.649772,Ramesh Nagar,"Ramesh Nagar, Delhi, India",Delhi,South West Delhi,Delhi
